Round,Round Name,Home Team,Away Team,UTC Time,Finished,Started,Cancelled,Awarded,Score,Match Status
16,16,Metz,Montpellier,2023-12-17T14:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time
16,16,Toulouse,Rennes,2023-12-17T14:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
16,16,Marseille,Clermont Foot,2023-12-17T16:05:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time
16,16,Lille,Paris Saint-Germain,2023-12-17T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
17,17,Brest,Lorient,2023-12-20T20:00:00Z,TRUE,TRUE,FALSE,FALSE,4_0,Full-Time
17,17,Clermont Foot,Rennes,2023-12-20T20:00:00Z,TRUE,TRUE,FALSE,FALSE,1_3,Full-Time
17,17,Lyon,Nantes,2023-12-20T20:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
17,17,Montpellier,Marseille,2023-12-20T20:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
17,17,Nice,Lens,2023-12-20T20:00:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time
17,17,Paris Saint-Germain,Metz,2023-12-20T20:00:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time
17,17,Reims,Le Havre,2023-12-20T20:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
17,17,Strasbourg,Lille,2023-12-20T20:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time
17,17,Toulouse,Monaco,2023-12-20T20:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
18,18,Marseille,Strasbourg,2024-01-12T20:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
18,18,Monaco,Reims,2024-01-13T16:00:00Z,TRUE,TRUE,FALSE,FALSE,1_3,Full-Time
18,18,Rennes,Nice,2024-01-13T20:05:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time
18,18,Lille,Lorient,2024-01-14T12:00:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time
18,18,Brest,Montpellier,2024-01-14T14:00:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time
18,18,Metz,Toulouse,2024-01-14T14:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time
18,18,Nantes,Clermont Foot,2024-01-14T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
18,18,Le Havre,Lyon,2024-01-14T16:05:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time
18,18,Lens,Paris Saint-Germain,2024-01-14T19:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time
19,19,Lyon,Rennes,2024-01-26T20:00:00Z,TRUE,TRUE,FALSE,FALSE,2_3,Full-Time
19,19,Nice,Metz,2024-01-27T16:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
19,19,Marseille,Monaco,2024-01-27T20:00:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time
19,19,Montpellier,Lille,2024-01-28T12:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
19,19,Clermont Foot,Strasbourg,2024-01-28T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
19,19,Lorient,Le Havre,2024-01-28T14:00:00Z,TRUE,TRUE,FALSE,FALSE,3_3,Full-Time
19,19,Reims,Nantes,2024-01-28T14:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
19,19,Toulouse,Lens,2024-01-28T16:05:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time
19,19,Paris Saint-Germain,Brest,2024-01-28T19:45:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time
20,20,Strasbourg,Paris Saint-Germain,2024-02-02T20:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
20,20,Rennes,Montpellier,2024-02-03T16:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time
20,20,Nantes,Lens,2024-02-03T20:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time
20,20,Monaco,Le Havre,2024-02-04T12:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
20,20,Lille,Clermont Foot,2024-02-04T14:00:00Z,TRUE,TRUE,FALSE,FALSE,4_0,Full-Time
20,20,Metz,Lorient,2024-02-04T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
20,20,Reims,Toulouse,2024-02-04T14:00:00Z,TRUE,TRUE,FALSE,FALSE,2_3,Full-Time
20,20,Brest,Nice,2024-02-04T16:05:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
20,20,Lyon,Marseille,2024-02-04T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
21,21,Marseille,Metz,2024-02-09T20:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
21,21,Lens,Strasbourg,2024-02-10T16:00:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time
21,21,Paris Saint-Germain,Lille,2024-02-10T20:00:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time
21,21,Le Havre,Rennes,2024-02-11T12:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time
21,21,Clermont Foot,Brest,2024-02-11T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
21,21,Lorient,Reims,2024-02-11T14:00:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time
21,21,Toulouse,Nantes,2024-02-11T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
21,21,Montpellier,Lyon,2024-02-11T16:05:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
21,21,Nice,Monaco,2024-02-11T19:45:00Z,TRUE,TRUE,FALSE,FALSE,2_3,Full-Time
22,22,Lyon,Nice,2024-02-16T20:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
22,22,Lille,Le Havre,2024-02-17T16:00:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time
22,22,Nantes,Paris Saint-Germain,2024-02-17T20:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time
22,22,Strasbourg,Lorient,2024-02-18T12:00:00Z,TRUE,TRUE,FALSE,FALSE,1_3,Full-Time
22,22,Monaco,Toulouse,2024-02-18T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
22,22,Montpellier,Metz,2024-02-18T14:00:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time
22,22,Rennes,Clermont Foot,2024-02-18T14:00:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time
22,22,Reims,Lens,2024-02-18T16:05:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
22,22,Brest,Marseille,2024-02-18T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
23,23,Metz,Lyon,2024-02-23T20:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
23,23,Lorient,Nantes,2024-02-24T16:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time
23,23,Strasbourg,Brest,2024-02-24T20:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 3,Full-Time
23,23,Lens,Monaco,2024-02-25T12:00:00Z,TRUE,TRUE,FALSE,FALSE,2_3,Full-Time
23,23,Le Havre,Reims,2024-02-25T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
23,23,Nice,Clermont Foot,2024-02-25T14:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
23,23,Toulouse,Lille,2024-02-25T14:00:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time
23,23,Paris Saint-Germain,Rennes,2024-02-25T16:05:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
23,23,Marseille,Montpellier,2024-02-25T19:45:00Z,TRUE,TRUE,FALSE,FALSE,4_1,Full-Time
24,24,Monaco,Paris Saint-Germain,2024-03-01T20:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
24,24,Reims,Lille,2024-03-02T16:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time
24,24,Clermont Foot,Marseille,2024-03-02T20:00:00Z,TRUE,TRUE,FALSE,FALSE,1_5,Full-Time
24,24,Toulouse,Nice,2024-03-03T12:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time
24,24,Brest,Le Havre,2024-03-03T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
24,24,Montpellier,Strasbourg,2024-03-03T14:00:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time
24,24,Nantes,Metz,2024-03-03T14:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time
24,24,Rennes,Lorient,2024-03-03T16:05:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
24,24,Lyon,Lens,2024-03-03T19:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 3,Full-Time
25,25,Nice,Montpellier,2024-03-08T20:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
25,25,Lorient,Lyon,2024-03-09T16:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time
25,25,Lens,Brest,2024-03-09T20:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
25,25,Paris Saint-Germain,Reims,2024-03-10T12:00:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time
25,25,Le Havre,Toulouse,2024-03-10T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
25,25,Metz,Clermont Foot,2024-03-10T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
25,25,Strasbourg,Monaco,2024-03-10T14:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time
25,25,Lille,Rennes,2024-03-10T16:05:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time
25,25,Marseille,Nantes,2024-03-10T19:45:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time
26,26,Toulouse,Lyon,2024-03-15T20:00:00Z,TRUE,TRUE,FALSE,FALSE,2_3,Full-Time
